"ITI"	"VisualStimulus"	"AuditoryStimulus"	"BlockNo"	"subject"	"pbn"	"age"	"sex"	"handedness"	"opticalaids"	"FirstRT"	"FirstKey"	"FinalRT"	"condition"	"error"
"1"	519	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	893.449241	1	901.380347	"A"	FALSE
"4"	699	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	521.112846	3	521.112846	"A"	FALSE
"5"	964	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	391.900358	2	400.048128	"V"	FALSE
"6"	1320	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	496.945136	3	496.945136	"AV"	FALSE
"7"	1266	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	305.68266	3	305.68266	"A"	FALSE
"8"	1421	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	353.283295	1	369.568815	"A"	FALSE
"9"	908	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	245.171692	1	261.539592	"AV"	FALSE
"10"	1290	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	290.363963	2	306.67137	"AV"	FALSE
"11"	1256	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	225.242562	1	233.493795	"AV"	FALSE
"12"	794	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	327.37585	1	351.640558	"A"	FALSE
"13"	968	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	358.085897	1	366.480628	"V"	FALSE
"14"	1322	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	228.47504	1	236.722971	"AV"	FALSE
"15"	1123	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	392.335547	1	408.573544	"V"	FALSE
"16"	925	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	209.447045	1	233.166167	"AV"	FALSE
"17"	996	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	442.2888	1	458.419828	"V"	FALSE
"18"	1204	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	380.264294	1	396.461938	"V"	FALSE
"19"	984	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	358.272629	1	390.67785	"V"	FALSE
"21"	856	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	250.940246	3	250.940246	"AV"	FALSE
"22"	1195	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	223.285851	1	239.465877	"A"	FALSE
"23"	998	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	225.683627	3	225.683627	"A"	FALSE
"24"	503	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	285.102268	1	309.472807	"A"	FALSE
"25"	643	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	225.581748	1	233.665074	"A"	FALSE
"26"	1398	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	326.137935	2	334.4902	"AV"	FALSE
"27"	941	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	302.977309	1	319.168328	"V"	FALSE
"28"	641	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	197.7341	1	214.073651	"V"	FALSE
"30"	670	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	384.500354	1	392.585858	"V"	FALSE
"31"	1484	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	236.623697	1	260.553572	"A"	FALSE
"32"	843	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	233.901516	1	250.163972	"AV"	FALSE
"33"	665	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	179.917935	1	196.18333	"AV"	FALSE
"34"	566	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	228.238345	1	244.625209	"A"	FALSE
"35"	1383	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	281.768621	3	281.768621	"AV"	FALSE
"36"	700	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	247.196326	3	247.196326	"AV"	FALSE
"37"	1028	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	212.174488	1	228.302965	"AV"	FALSE
"38"	512	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	381.457532	1	389.622521	"V"	FALSE
"39"	1367	" false "	" true "	1	1	1	26	" f "	" r "	" cl "	648.74673	1	665.071846	"A"	FALSE
"40"	755	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	370.503298	1	378.718514	"V"	FALSE
"41"	815	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	206.96482	1	215.126015	"AV"	FALSE
"42"	1438	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	332.710251	3	332.710251	"AV"	FALSE
"43"	804	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	235.55624	1	251.931061	"AV"	FALSE
"44"	1287	" true "	" true "	1	1	1	26	" f "	" r "	" cl "	256.410118	3	256.410118	"AV"	FALSE
"45"	799	" true "	" false "	1	1	1	26	" f "	" r "	" cl "	299.905996	1	308.019023	"V"	FALSE
"46"	1351	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	418.964142	2	427.37971	"V"	FALSE
"47"	1103	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	742.646767	2	750.479235	"A"	FALSE
"48"	535	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	334.868475	2	342.813692	"A"	FALSE
"49"	677	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	211.027526	2	227.147507	"AV"	FALSE
"50"	768	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	462.868104	2	470.868269	"A"	FALSE
"51"	1012	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	304.185267	2	312.57806	"V"	FALSE
"52"	1350	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	267.071843	2	282.988871	"V"	FALSE
"53"	837	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	212.763759	2	228.856354	"A"	FALSE
"54"	1094	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	240.392034	1	984.822729	"AV"	FALSE
"55"	705	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	336.669553	2	345.115236	"V"	FALSE
"56"	753	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	339.015515	2	378.909452	"A"	FALSE
"57"	567	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	340.089351	2	388.525022	"V"	FALSE
"58"	682	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	359.031121	2	383.336504	"A"	FALSE
"59"	953	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	323.25506	2	355.467567	"A"	FALSE
"60"	500	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	371.496382	2	403.23828	"A"	FALSE
"61"	1230	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	257.048529	2	264.975618	"V"	FALSE
"62"	828	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	350.210947	2	366.178586	"A"	FALSE
"63"	1471	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	266.409133	2	1170.429284	"V"	FALSE
"64"	1189	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	279.640598	2	295.6691	"V"	FALSE
"65"	777	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	177.59665	2	210.089064	"AV"	FALSE
"66"	611	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	267.637527	2	291.983487	"A"	FALSE
"67"	1198	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	366.033032	2	1374.464632	"A"	FALSE
"68"	967	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	337.053176	3	337.053176	"A"	FALSE
"69"	737	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	257.669114	2	273.746243	"AV"	FALSE
"70"	853	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	215.105864	2	223.137868	"AV"	FALSE
"71"	1189	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	228.816994	2	244.743856	"V"	FALSE
"72"	1445	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	241.074499	3	241.074499	"AV"	FALSE
"73"	1141	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	284.815681	2	287.271876	"V"	FALSE
"74"	1422	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	253.890831	2	278.081423	"V"	FALSE
"75"	774	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	486.841888	2	502.922013	"A"	FALSE
"76"	952	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	329.809783	2	338.35555	"V"	FALSE
"77"	612	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	304.131965	2	328.357554	"AV"	FALSE
"78"	1423	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	287.089733	2	303.190089	"A"	FALSE
"79"	697	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	287.345053	1	295.780205	"V"	FALSE
"80"	701	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	305.139736	3	305.139736	"V"	FALSE
"81"	790	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	250.230055	2	266.194152	"AV"	FALSE
"82"	1371	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	258.02121	2	290.23243	"V"	FALSE
"83"	964	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	233.538215	2	249.395539	"V"	FALSE
"84"	954	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	205.637685	2	221.59684	"AV"	FALSE
"85"	1054	" true "	" true "	2	1	1	26	" f "	" r "	" cl "	204.249569	2	228.566295	"AV"	FALSE
"86"	694	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	318.954928	2	343.026721	"A"	FALSE
"87"	1376	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	280.600471	1	288.580658	"V"	FALSE
"88"	1285	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	401.704244	2	409.674831	"V"	FALSE
"89"	1125	" false "	" true "	2	1	1	26	" f "	" r "	" cl "	231.627426	2	239.573694	"A"	FALSE
"90"	1310	" true "	" false "	2	1	1	26	" f "	" r "	" cl "	259.454049	2	835.725483	"V"	FALSE
"91"	1459	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	412.291967	2	436.600467	"V"	FALSE
"92"	1011	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	794.351241	2	810.472136	"A"	FALSE
"93"	1216	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	330.051333	2	338.052239	"A"	FALSE
"94"	1023	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	232.538708	2	248.5751	"V"	FALSE
"95"	871	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	194.768101	2	210.766341	"A"	FALSE
"96"	764	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	216.861917	2	224.828534	"A"	FALSE
"97"	1047	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	262.94168	1	270.763746	"V"	FALSE
"98"	642	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	225.576567	3	225.576567	"AV"	FALSE
"99"	777	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	258.517384	2	274.540739	"A"	FALSE
"100"	1068	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	249.037816	3	249.037816	"V"	FALSE
"101"	1305	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	249.972706	2	274.13894	"AV"	FALSE
